Столбец1;Wk;Day;Date;Time;Home;Score;Away;Столбец3;Столбец2;Referee;Столбец4;Notes
;28;Sun;08.05.2022;16:00:00;Ufa;0–0;Rostov;;;Pavel Kukuyan;;
;28;Sun;08.05.2022;19:00:00;Loko Moscow;1–0;Rubin Kazan;;;Kirill Levnikov;;
;28;Sun;08.05.2022;20:30:00;Arsenal Tula;1–1;Krasnodar;;;Sergey Ivanov;;
;29;Fri;13.05.2022;19:00:00;Sochi;0–0;Nizhny Novgorod;;;Nikolay Levnikov;;
;29;Sat;14.05.2022;16:00:00;Ufa;2–1;Arsenal Tula;;;Vitaly Meshkov;;
;29;Sat;14.05.2022;16:30:00;Loko Moscow;3–3;Dynamo Mosc;;;Sergey Ivanov;;
;29;Sat;14.05.2022;16:30:00;Rostov;2–1;FC Khimki;;;Vladislav Bezborodov;;
;29;Sat;14.05.2022;19:00:00;Akhmat Grozny;1–0;Samara;;;Aleksey Amelin;;
;29;Sun;15.05.2022;16:00:00;Ural;3–0;Rubin Kazan;;;Sergey Karasev;;
;29;Sun;15.05.2022;16:30:00;Spartak Moscow;1–1;Zenit;;;Pavel Kukuyan;;
;29;Sun;15.05.2022;19:00:00;Krasnodar;1–0;CSKA Moscow;;;Vladimir Moskalev;;
;30;Sat;21.05.2022;17:00:00;Rubin Kazan;1–2;Ufa;;;Sergey Ivanov;;
;30;Sat;21.05.2022;17:00:00;Nizhny Novgorod;1–0;Zenit;;;Vitaly Meshkov;;
;30;Sat;21.05.2022;17:00:00;Samara;0–1;Loko Moscow;;;Vladislav Bezborodov;;
;30;Sat;21.05.2022;17:00:00;FC Khimki;2–1;Spartak Moscow;;;Sergey Karasev;;
;30;Sat;21.05.2022;17:00:00;CSKA Moscow;4–0;Rostov;;;Yan Bobrovskiy;;
;30;Sat;21.05.2022;17:00:00;Dynamo Mosc;1–5;Sochi;;;Vladimir Moskalev;;
;30;Sat;21.05.2022;17:00:00;Krasnodar;1–1;Akhmat Grozny;;;Pavel Shadykhanov;;
;30;Sat;21.05.2022;21:00:00;Arsenal Tula;1–2;Ural;;;Pavel Kukuyan;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
